Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Croatia,VCD,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.738542538417847,-0.5606059029573489,-1.3088357117900493,1.6959469323347967,-0.3452713879725877,-1.377319877977039,1.629159663084808,1.4740619815489717,-1.25973718227826,-1.3692063920152218,2.0584704193266186,0.6456791344315649,-0.5631155779867614,2.283480563596835,-0.7404506056755475,-0.3244189626932552,0.8618877041439807,1.644588273603353,-1.5530003549965403,2.77479875616228,-0.3661088585945138,-1.0067826151521868,2.08164743536409,2.365359063401101,0.7365019183489037,1.7632024520306881,1.4518875556432596,-1.7373516797951183,0.15655735051480146,2.9357124094636537,0.09744225628687664,2.8164497985607992,-1.5332210313201111,1.6276760184349288,2.226607123343923,2.376839651052271,0.7149177819051555,-0.797928498708258,-0.35505559858444324,1.7914878287137208,-0.7230545949760818,-0.8803999794609101,2.0023392987282485,-0.18733667389870678,-1.4594445213028795,2.653125448821375,2.9842354568223888,2.864935434798121,-0.17569516739092217,2.5545735206606155,0.5196572722047295,-1.868970910544903,-1.7521485039566136,-1.5335199823555898,0.9413855299241654,1.0908943877748025,0.8944699751016731,2.6860204392432605,1.5364415468230344,-1.4927349801984522,0.32621128368508323,-0.6620003421714797,Latin America & Caribbean,Low income,11040998.0,96
Lithuania,GBN,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.1668218024125823,2.190429864430137,2.507457467100954,-0.20412101244881553,-0.7272787488038923,2.485826912916141,0.1531998139102102,2.97457141611888,1.6616961104969992,1.5300601764166952,-0.0033182809771603594,2.4448668691210838,0.9450783232126119,-0.1497576522294275,1.9233189591012612,1.1597229187273856,2.44931132795773,0.08962674666112669,0.6825585717236318,-1.6920848682926208,-1.2909658936816542,2.869795077555662,0.7293759407618445,0.035819596332312464,-1.4115470909736487,2.304828010510164,1.3590553798571916,1.7696576959636467,0.1888025215484368,2.7714111649591073,0.6791867539048413,-0.8440210709565303,-0.4098446025920488,1.4361674851271222,-0.9185118773363219,2.7208731095120973,2.4035767216949147,-1.2394855636995432,1.8898215750002922,0.44206384865014403,-1.1066487089302406,1.4510145404911996,-1.369604504101594,1.3969649634188404,2.6671264383204303,-0.23802948815007197,2.0388677721140356,-1.79156540415633,0.5051425220995367,0.8777974145058312,1.1985317216290343,2.8952396701162932,-1.4551218947417681,0.9430744217609717,0.9980463465721368,-1.2887223464915325,1.5410923973446717,1.6792853001478685,2.6961311251659072,1.5623862756400202,-0.08327537220510761,-0.012940205473213062,East Asia & Pacific,Lower middle income,14814787.0,331
Poland,WWQ,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.286934058723467,2.897306024035089,-0.8913457254455475,1.3506542375604735,0.9234685161397005,-0.17921537811737043,-0.14236102245070925,-0.8196262680302406,-1.7216562839635174,-1.984134971525061,1.1812368553335197,0.4762737378662303,0.26763780230059186,2.65517314077165,-1.3616377721855537,-1.2215926441944145,-0.7629566855215002,-1.4333162597956632,1.1170653324401854,2.486234553594076,-1.9141653777099887,-0.18866251004711598,2.6441316009539237,2.259447340294055,-0.11254938299603823,1.8546309014483056,-1.6577774400430676,1.6449526169997677,0.05973547292164394,1.95663396979793,0.3391691998724342,0.4515118164618128,2.7433417325964653,1.1101335488318438,-0.9733549649102018,-1.9586514294838013,-0.3276599361988701,-1.4707381816718583,-1.3836500245298087,0.8641582929487859,-0.7843935479414659,-1.9692225944213042,2.66007379919881,0.6580587642915172,0.9923948793269779,1.2994975000059634,0.2810531154583833,1.7405375178402291,1.3107995227590874,0.9297212424663401,2.8888957170759335,0.458136519709754,1.1254034525137642,0.5711001196106209,-0.014655837959356877,-0.7225294796071058,-0.09812176447966214,1.8077974634760543,-1.7346748112802473,1.7243369894827243,0.4783200520416102,1.4692491500940497,Middle East & North Africa,High income,15325895.0,76
Afghanistan,YAM,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.7406553794115411,0.01410302842005784,2.5297792346143684,0.7313925250096291,2.143987180935306,0.7733428546448491,1.9250015233513214,0.7959705637104655,1.2237670925550388,-1.145467976535211,0.37043901212319774,-0.1483329213850575,-1.7651252955814978,2.795010795756502,2.297905154501871,0.8021529080653402,-0.06931945232662606,0.9853824155255109,0.6375259669477389,2.132555823216191,-0.8972577492180154,1.9496559592320497,-0.23260523756254647,2.2914135225311396,2.9800909149923953,1.1083110807640786,1.2244685669471869,1.7540486053164708,0.7427824654178945,1.2470279703552714,0.5117973647866538,0.4851932710346727,-0.2312953545276335,-1.919968128919205,-0.872906876189478,-1.47455672791082,0.19264048361957675,-1.3548226000004242,1.6924376578807898,0.5905653311578893,1.2712705554032606,-1.493358815091291,-0.8373849337415,-1.546762610515798,2.5880341044538255,2.1318808616587512,2.8164152974376853,2.0792164586881903,2.574913045127854,1.39233078644773,1.4376112943434651,-0.650837097914239,1.0000117499501289,0.4402129851666383,2.193895317942423,-0.11054202218601628,-1.9706482189090984,0.22480864467656314,1.1142628745403247,-1.9518599788712803,-1.9014264267555467,2.8624774493597087,Latin America & Caribbean,Low income,11602661.0,15
Burundi,XGJ,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.43642578264577114,0.37068596558998834,2.47452270832195,-0.7281702093416436,-0.8119895004192894,1.7218017225996824,-1.8078563730291108,0.2760703629658301,-0.3948496088838369,2.1615763276085493,-0.2561378585867218,2.2093901723104334,1.287465868492279,2.421346297730654,2.251525041935161,-0.463088852993947,0.22307202633418388,2.681577573594076,-1.9847685496567917,0.028164191209546274,0.684846949644053,-1.212281689143222,-0.6298201089362814,2.1135688637479397,-0.8599668153434918,-1.9095643159564417,2.2370564807019253,1.904369638384471,-1.710555433617687,-1.0778218663628907,-0.2876652919345921,0.07436397793605076,2.368012888145473,2.837001292929174,2.5684908348299658,1.7314251251234798,2.5550057210794295,1.4757019160258769,-1.5164591411672694,-1.4080016273455063,1.5634140512059664,-0.8028198104116644,-1.693242248265093,1.8601398356571104,2.979093567757113,-0.7941566722341902,2.4993720755553186,-0.7138990245411307,2.167270436479864,2.7467944752866327,1.2328038189713002,-0.9258281070057355,-1.7274361486192529,-1.6641537431456341,1.242929273370882,1.7840478751688664,2.2896301828147534,-0.5238217783375019,2.217587960030043,0.01827919753213525,2.4724473169223486,2.0616339188257946,Europe & Central Asia,High income,16767683.0,206
Isle of Man,ULX,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.1108729369434893,-0.9392724772015808,-1.4922320433055125,-1.265222622275569,0.946010012097815,-1.8345867560144118,1.7489348053063347,-0.3118749702667738,0.7915973818239226,-1.475982337312883,-0.9728046653475086,1.4541462761620045,2.709287931710974,-1.8199023967468406,-0.7647240362422518,2.8556281368346808,1.4427963120191087,1.3543924921243735,0.47177413507726884,0.7935738872217879,1.3903575084509256,-1.9353949638565302,0.9425153359606759,0.14171355727329704,-0.674021598795385,1.8025420402059575,0.2913596760158166,-0.2957804618564883,1.7830099069427332,0.32615920522257325,0.21412134282550976,-0.027539388909739504,0.3806606609169494,2.4879634917850826,-0.7153921961985463,1.8575406722306695,1.9288751165054485,0.3149781074045688,2.807166987543667,1.5338788988692422,2.028575490781149,-1.318290373656592,-0.04646555756102,2.9612610803372634,2.269330831322071,-1.6162886593969672,1.1136333486806977,0.7286265558711515,-0.464253547959798,1.675110278998548,-1.846797974867234,0.378419009429801,1.6033037357478221,0.6389274663912108,0.2235334872694441,2.235085774405041,-0.001031435072002429,2.8238925546504143,-0.24116611475905092,1.4377056109090987,-0.5123391311523366,0.630180044416901,East Asia & Pacific,Lower middle income,5609895.0,90
Swaziland,ABS,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.5270352839472174,-0.7912716068739845,1.7213763050000463,2.0922505051352926,2.3449803369628874,0.22483816223161712,1.8850592606993715,-1.3987540374657446,-0.09084370946317089,-0.3125643313315112,1.777675161172155,2.9871982641172723,-0.6166180942345054,-0.683221898961192,2.616067756403405,-1.6745979154185535,0.38734847548028606,-0.12108071797492448,2.8300800448020285,-0.8427927009132397,1.3869470101527837,2.142237348199462,-0.08863563241982009,-1.709684753659245,1.8865850192060467,-1.9032678251045436,-0.2825180708676305,-1.42832882347734,2.290538094738819,1.815912870962336,-1.1264642373007758,2.8781163126261067,0.7572859237367875,2.1934719146147845,0.1473214720940148,-0.009481027879181703,0.6383127929311607,1.0858010029262224,-1.4334411716484872,-1.4216551763925604,2.047215035018292,-0.13097811331814024,-0.994948702097173,1.8984973137724594,-1.5519268865067897,1.541838831223048,1.756246244427687,-0.17763447730004867,2.2710808942344167,-1.9692443461058,1.5132539385407675,1.0976163143635347,-0.6089055800547365,-0.65178430740223,-1.3349044496099935,-0.23899530549629278,1.6439971169038925,1.4764898798187227,1.303991380051447,0.5169406652652535,-0.17464382191321404,1.302240656763313,Latin America & Caribbean,Low income,19678.0,215
Algeria,ODX,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.4349759260543078,-0.3018950205500719,2.86120279622373,0.5040625272005226,-0.434076758422961,0.3649892091217728,-1.4269762599274483,-1.8755805023457999,-0.1156372377127306,-0.18135358327386153,0.5919302115715759,1.9671650345118619,-0.2670090100706084,2.4117753304144784,-0.3417319945713282,-0.005769160214049052,-1.9042383892458374,2.6829099898647017,-0.7991721329178678,1.5090220630241555,-1.263602949710354,2.966731801239539,2.568594758760801,1.4152855756411644,-0.7545870801048271,-0.9468861195959533,0.1476804433465997,0.2884406381896101,1.4628150277287761,-0.37697307963647164,1.7474003777591554,2.738767638035739,0.17709905017550787,0.20016237221161326,2.7793141583764616,-0.72800433654085,0.4704179716807513,0.591214251895166,-1.4773913752392276,-1.4442900168091293,0.6692285942631848,-1.1415033985299425,-0.1420555785867832,2.3749129938336235,-1.7235446138010824,1.1250085237504472,0.4369807046679921,-1.3437730671055519,2.764009968458489,-1.692628847362743,2.5515105122732686,1.054563616516833,2.4908394434892633,-0.3819924910761827,0.16824090862996544,2.5080089178552214,2.049235480205666,1.1940360835680401,2.7089781102198582,-0.3450794063799283,2.990711262654437,1.2281792709200747,Latin America & Caribbean,Low income,14224360.0,432
Israel,YZU,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.6726248880138233,0.20344258054736297,1.5019766150876013,0.2612504091730683,0.9280788035434813,0.9917705908440784,0.1193999099298666,-1.9184258396062268,2.097453912878473,-1.9525042882148846,-1.4406349037922688,-1.3692044053617218,0.190573091032062,0.47535906926243987,2.8312288218529478,-1.2284039388747863,0.15979078484977016,1.7656206737738076,0.8231893169907045,1.4644791875999408,1.4803661269610018,0.4388399978363,-1.4912460562960088,2.1090327901717316,-1.592538486606979,-0.08057175294474739,1.3684054772195586,-0.8612001811302255,-0.7819334825428508,1.4324132390413835,-0.47984818646991334,1.3363345736175196,0.8407217423758575,0.05330014893216539,1.1675849685240065,2.3161290474784755,-1.5759349120803745,2.496755723358353,1.77599631655066,0.8577209027156458,2.4187214523178255,0.8584676555300454,-1.8796851938584451,-0.005328992529349819,-1.551147496463333,2.137616209081745,-1.7398506427437348,-0.9424034897244358,2.872622259884807,-0.3029053318784585,-1.6918784288359228,-1.8607582889261765,-0.4029540286262021,2.9741447763276048,-0.26358904392533855,1.5647208046197831,0.5578039744709455,-0.9093286396596323,1.2060850395813398,-0.4522264849240032,2.060444501614091,1.527125473423805,Middle East & North Africa,Low income,5925376.0,269
Congo,BZA,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.2867734333469667,2.5366949979209172,-1.5993242840478699,0.3457345889694796,2.8605970754144385,1.1759783130488062,0.11012274851798187,-1.1661898614906578,1.0464491453965454,-0.2015513933522195,2.84647384229776,0.36841557496044164,-1.4357835453791967,-0.03215762666921007,2.973994559203253,-0.04293768229728201,-0.3748142605528737,2.2497517473327573,0.016038952534940254,2.0700500207164154,2.505083984817783,-1.1239285764813949,2.1683133806032986,2.973000276821838,1.9857935996275722,-0.08897521529823482,-1.2498642170984013,2.8201882912770664,-0.8569647461101546,0.7507450836621872,2.205393622567885,2.9608375471611446,-0.760444061735881,2.2497657344978714,2.1218561865787127,0.6120466218396254,-0.11589294542660777,-0.9469203668841246,1.3182035634014402,1.30339339575273,-0.2728381449136279,1.2542245709756248,-1.8359747484444837,2.5013195147289444,-1.7057513496261394,2.6506733316758746,0.011454552871472234,0.34083321401695876,2.711287704665132,1.229068477027981,-0.5665114419100523,-1.3286879684122515,-1.8391600066078562,1.8896097787034494,0.49462957445105227,0.3067532669268016,2.8289528179372088,-1.099581334138413,0.8402838943508577,2.8754407381611546,0.7452756544134234,2.512661163993605,East Asia & Pacific,Upper middle income,14070985.0,77
Cambodia,QJJ,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.4987051147553645,0.3908028517894393,-0.4424547039228677,2.5308750099804858,2.7475804486013944,1.0436321694669348,-1.551084083581944,-0.3636685850163879,-1.870615232332074,0.006268539930259109,2.4366525221099904,0.9812395086959294,-0.3356194073743073,-1.110434251474706,1.2437582249097545,2.974252566783715,1.9261931176572817,2.5688937559814518,-0.9507246295241716,2.9364461652446296,-1.2638316113650925,0.658781109126664,0.22239366953888684,1.1272922271797476,-0.6684335617855379,-0.18535186892733346,2.827316985623386,0.29719574883760735,0.5116637762495535,2.920580544582636,2.159541239554894,2.782839178638029,-0.611944788066161,-0.970083074012178,2.1610804415302747,2.694053161463497,-0.09299698191841488,-1.00300270171976,-0.2589655920162146,0.4696967552976057,-0.04724120511983321,2.5140321357544257,-1.2637491496719904,1.6989480522362816,1.9713878524431854,-1.5224471759373168,1.892581932767806,2.0620661726591303,0.28856642468947324,1.8461869030202593,1.0483049884163367,1.013260139342369,-0.2975680489310606,1.3418525158943146,-1.3604540868198556,0.8317762357078498,-0.7953254550642967,-1.901197583747492,-1.4168185161463014,-1.6954071758597293,1.0058230098085725,2.553867298467872,Sub-Saharan Africa,Lower middle income,5355275.0,121
Eritrea,MGS,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.9017750607176147,2.3182116472884307,-1.201375099960003,1.7934329563188465,0.11894258595850182,-0.07675154781006421,-1.6960323496973866,2.227538874368114,1.4870518809375275,1.5447520844069262,1.7181633600424453,0.08258109335772268,-1.4346953787446814,2.7981290992920087,0.938140656886115,2.7590794826559026,-1.956068470717831,2.9717531915111666,0.2952087079648775,2.4420703552983873,2.6871049593563887,1.6320490790235311,1.3662970845282505,1.2188722405761632,0.03289701805754497,0.2173143625456877,2.477579086219274,1.1799416352914096,-1.083650470390248,-1.5948999073316887,1.066340762207874,-0.40624682131637546,0.8809421407594176,-0.3645348905716388,-1.0828295496892197,-0.3524373380613399,1.1486592181997115,2.927010694390443,-0.6303875510745236,-0.2124240081707649,-1.2782639816997625,-1.8574397742947255,-1.0963848877385338,-1.8008352216903194,-1.9534306694772556,-0.36831039466985116,-1.3897103710644425,1.9354700497298163,1.035474089877301,2.081528464314487,-0.18546500661543108,-1.559756311565415,-0.11102589361393234,2.9311004991113636,2.7628358159328883,2.7462316132104103,2.916982362338956,-1.8099052282832138,-0.25912686605069224,-1.7818454536422554,-0.32762780385426105,1.555161731218615,Europe & Central Asia,Upper middle income,2117567.0,458
Micronesia,XCC,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.6879336864725163,2.3508101968851447,-0.2823938988258079,-1.507627850326163,0.588714235543514,0.6573074702068142,-0.8662052628930761,-0.9414693839123982,2.375654694616605,0.17452945204921377,0.6016126516832161,0.575844837928515,1.3786440445941919,-1.0131198533866386,-0.24189181861319575,2.3066472987413427,2.855746095773629,0.864269242526035,-0.6214634138086799,-1.343900804976758,-1.8621577516183985,2.10581359906295,1.5695634064427963,0.4736216801536024,-1.2311141166110384,0.4756085654719211,1.2311709926460797,1.7634912773540967,0.18812046066633048,-0.28539654061173847,1.2505033171144824,2.626410899951251,0.809152008833451,1.955332124731096,0.9515943838899683,-1.8676256986268596,1.2927254621468083,-1.7464640582674118,0.5651371617293499,-1.94937556859673,-1.6849636313440386,2.1321845072441645,1.982614962559747,0.5645689318218912,2.953572864588967,1.3075542707016719,-1.1095195226689651,-0.6502392904029439,-1.1546050258531881,2.192692205364491,1.4887356477654423,0.20778821125943647,-0.5742463634393813,1.826230375640117,-0.32526868179441104,2.503187025147305,1.7918490308532817,1.230032537330421,-0.4484376286571199,-1.9706661855457717,-1.1182625206858554,-1.869154992344047,Europe & Central Asia,Low income,8676343.0,404
Lebanon,AIW,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.9102713046275523,2.886273950212775,-0.016446508400404403,1.164699092417652,0.12780070421986833,1.8385093310440883,2.463352737739191,-1.8190522335428687,-1.1162293671760308,-0.7873881526275981,2.8129204417283864,-0.3584845357791897,2.0008403746334134,1.4658557391981888,2.218147410083075,-0.6254654301015994,1.9089320961954326,0.2372067431632061,1.995891257884833,1.7357837288806417,-1.5090536779221373,0.5804411435398649,2.150975272277388,1.9433286307601216,0.30825639773834856,0.9412711341527094,1.8360455086337515,2.810095413027204,0.5784814253663786,2.167811610065776,0.17426185233809566,-0.38438314360918024,-1.157991035398737,-1.4126687011156396,-1.397393432374943,1.7602976777952573,2.7884684461601124,-0.11708254131138562,-1.6972315089841858,-0.2607055337372559,-0.13981891481172393,2.292603818958261,-0.32610133153478094,1.415074846723924,-1.4253349470052838,0.6241670904505625,1.7829869309368824,1.590466090600291,-0.1619043982821755,0.0939879492477087,0.9748538356115657,0.9411009032404261,0.2588235071591263,0.023661633857595454,-0.5812185296398829,0.9437852099262942,0.8052674339522059,1.6044663728544095,0.211274284324245,1.8883139056897758,1.5237049020203854,-0.2824652177956015,Middle East & North Africa,Upper middle income,879492.0,142
Portugal,EYH,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.6377205894057028,1.846274949067301,-0.861174028895975,-0.3381582815099631,0.7280302530985736,-0.5721233743281138,-1.0779230026106368,1.1195426829883792,0.8312753963402386,0.9409687390842567,-0.6039977440859827,-0.06183312087071613,1.8615346315668528,2.617344468748124,-1.1167989773893128,0.7893821239455607,-1.1763679257504949,2.5439946906660857,2.918325927532959,1.7722192663977956,0.3500469885496944,2.1057271782280624,-0.20984832724496583,-0.7896735151507506,1.8186295181977412,2.996491806009253,1.2656051632895684,2.8208935785363654,-1.7651469305556242,1.4986720874894899,-0.4851491263916383,2.1227712289049636,0.46321233880168977,0.14039596766538764,0.9870817184974365,1.4331298155767302,2.556688003936081,-1.4033822541732337,2.2493224958270854,2.4637360205763184,0.32162509392480887,2.680282030324566,1.1028596958200367,1.6432223577854117,1.6219605589667747,2.7566313644801896,-0.651475997141826,1.6116819421943314,-1.2801136465858403,-0.23697342336103033,-1.6194308333743224,0.23429420583003147,-1.082531436492589,1.0896356937068825,0.6534756966980422,2.891804355048782,-1.8667905830683034,-0.9754107367153586,0.7027740844267627,2.5803320728251693,-0.18141260522652747,-0.8441517475040827,Sub-Saharan Africa,Lower middle income,6629086.0,394
Monaco,XVG,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.12347115257897379,-1.4833711196200006,2.322470718122614,0.3066569165697186,0.8514940770890504,1.550805014349057,-1.3857262203988485,-0.9174610338714659,1.77504649772705,2.634284912170406,0.8322799857374599,1.490712598788979,-0.5182025154936585,1.1914115887919547,1.3209123991491185,2.8258302748965294,2.5058421809670675,2.40970982795844,-0.299646101918023,-0.0002875895165730391,2.870854882686201,2.4247118585400615,2.5372668929683933,0.6639595422900699,-0.08096815884023156,-0.3651990150669664,-1.2754322790125598,-1.811232770001369,1.7516648414496814,2.149862653050615,1.3919496564043667,2.6807487013820275,1.3869978349828327,0.7843418695083311,0.11069232294094089,2.925116388639771,-1.268663345405534,1.8429410023468074,2.5615289671598864,0.9137087301706104,-1.7416237749204526,2.0367420085685097,-1.1634390663031922,0.6917594115696968,-0.6019271341959602,1.6319294368856148,2.100011298958811,-1.5384049440757006,-0.2640414051339399,0.2451766764011385,2.7426570565816055,0.15454056301862007,0.23899550203520992,2.9223207716038804,-0.13839815001783595,1.4096024027058642,1.2670209609078378,-1.9498236693657294,0.717988870575367,-1.07732772344295,0.601980276908594,2.009408897619336,East Asia & Pacific,Low income,6533364.0,25
New Zealand,MQR,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.4359964409891637,1.6801094889102837,1.5247959156715938,1.8842650234292804,-0.40722478312375565,2.436951635094273,-1.8302899635695706,-1.6278161127082336,-1.3401432344258029,2.4023102499910376,-0.905055631348509,-1.0718590132195798,-1.0184532542366984,1.8075775556113851,-0.443059590718927,0.7636301955429947,-1.7462182813610938,-0.8137514629796438,2.016450221279893,0.49505523372465543,1.388892986273178,-0.18670489976089488,-1.634594814262261,1.3145154753785961,2.3717623348259425,0.37980038528997895,0.4386753910370782,-0.779509082802059,0.30848079909883985,-0.2936905600167914,-0.26862903912233094,0.29043197232631224,1.7051088452163574,1.7433749585181881,-0.5915508764727633,2.2277396738562594,0.163899095977881,-1.6864581201627247,2.9865105581497735,-1.4427032533474446,1.353012845675586,0.9915055906472938,1.668093920549663,-0.0703820468728833,0.1706979105833324,-1.3670336595206305,2.8884883237536085,-1.0093224438317194,1.7999749212541762,-1.4861598246804997,1.7296789643324817,0.11807096672545825,1.3802194253722413,-0.17800710058414326,2.4641108833569456,2.8755106165406357,2.4069115195690145,1.7090650890851045,2.0002872660379953,0.21720196882977483,0.5195175268397678,2.1753903406641344,Latin America & Caribbean,Upper middle income,10570257.0,314
Nigeria,ROD,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.489438173963568,-1.0780790010793027,0.03197269544519399,-0.23205768991935316,-0.5483950397014163,0.8311774987484806,0.7005359804496183,1.2428777797661952,1.5948451005203754,1.52227268546762,1.2261877449794136,-1.7529954531465446,0.6061806511032568,0.8957764982017937,2.910273707000801,-1.6759193920112274,-1.0799057942947696,-0.0981407216325989,-1.4761202208380835,0.5333296555649607,2.24458555910768,0.7857193808442888,-1.4981250732171318,-1.8146781977504183,-0.05981682424256096,-1.0880535183803697,-0.29956938401651456,-0.6635330219534434,-0.20077808053516488,-0.012055910668362646,-1.5847219818286733,1.8152495150476589,0.8161273585878717,1.5138411292346685,-1.2947771563645047,0.6594576228169124,1.473664415624245,0.6766407550942399,0.6659426153912174,1.0017441097539717,1.6281798480755856,-1.7912238724888607,0.014413443800489478,-0.5728720230563522,-1.768205675777753,2.5443613922044133,2.2974784870114933,1.2349337292280138,0.12356487092552104,0.8138087956897575,-1.08749630415282,1.4318991374300167,1.5389816651536519,0.9046985342609979,-1.9039397538781815,-1.254464005088288,-0.47706133963892605,1.99089078011903,-1.8035246168717516,0.5235538843833885,2.0206557039996733,0.023917051644350096,East Asia & Pacific,Lower middle income,1635583.0,193
South Africa,HNJ,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.33964318371237034,-0.2926089912924328,-1.0189521450481651,2.6069468053921288,0.4150980156484154,-1.0531937735673922,-1.029628928630658,0.12172463195819772,-1.30577417008976,0.09661819615657308,1.928354488203054,-1.3391440331573787,1.3889203692970438,-0.3156514331036262,2.6022223570641723,1.7553428067510564,-1.0528565180217861,-0.03983199489394895,0.3522786264108393,-1.3261453486523194,0.09824534805033203,1.2382955079680844,1.8056785964641064,-1.6588840281587407,0.09962294997786136,0.8526472259350344,-1.0166164982389758,2.319506552423153,-1.9837122915052456,2.994433289754853,-0.40423902455909366,2.4260809855009446,0.8361648411982538,0.8441986234826073,1.3802012957026442,2.398797210165501,0.3467354596363714,-0.7918396797714053,-0.20924444625728178,-0.08629955216269947,0.3415449148881766,-1.4082793229458757,-0.21829364013244357,-1.5818143422054791,0.6658304833691409,1.1989987812478504,0.45307256649399896,0.23022487812857673,-1.1425008979764555,-0.7669052664396458,1.9162568284293302,0.23818110389790892,0.07709908501135132,2.3472019740391152,-0.6844181763765933,-1.2339397030964259,0.537433443100209,-1.669096944686375,-0.20674912752156205,-1.7846770388018207,1.6838385905906694,2.6695308185229196,South Asia,Upper middle income,11890365.0,406
Finland,IXT,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.3061935738059387,-1.556776091699275,2.7770612368577767,2.700445180237746,-0.5825605454973286,2.397225853899233,2.601510496967567,1.849856859519583,1.5542971586501908,2.014674654924928,1.3554696570442126,-0.11328904417818575,2.395365109480327,2.4038398868100046,-1.127815464118223,-0.14136978831536462,2.248787719481191,-1.1530810496717558,0.8325376064093244,-1.0931593287141905,1.2290623599600279,0.9554761495828608,1.8615466673396224,-0.5295404947066906,2.2488097784686403,-1.112616667772907,-1.5075451052994686,1.7757673233024143,-0.6951099003105337,0.6915165717235006,1.064900078996514,-0.6107796221679822,2.6117711771079346,2.2700075074732355,-0.75373567030808,-1.7632280794310056,-1.1026381331204402,-0.539761554878299,0.854194425210554,2.5555598874122056,-1.2719086390387961,2.94658933023619,1.2035314441596419,2.32212408707724,0.4392813799870021,-1.6241299511404221,1.3445721141081366,-0.5365404240736202,1.4101509033048498,-0.23879178997236128,0.9948935250822317,0.11737070903126101,1.8614676620128527,1.2222720769300182,2.335071455636382,2.3916664351444856,0.16749489467385903,-1.8646831421640564,-1.455630917933231,-0.3135780142102611,-0.8067599122789397,0.02635448806037477,North America,Lower middle income,1020760.0,451
Mauritius,FZX,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.6574217086225396,-0.8634361501358434,-0.100254683571662,1.7885322643825257,2.962236968960351,2.647321261857347,-1.4707698730989454,2.636417077392853,-1.9696526003182355,2.6256514332134007,0.6391421310206713,2.448618476195863,0.5868127760180153,-1.0376650723294027,1.0864580147469272,-1.898479171961088,0.7697622764376306,-1.3102170270933189,0.04271670006883577,1.2688216203621017,0.6500826324847311,0.5695955640232064,-1.7504730696162496,1.7315402832209452,1.8012692922433748,-1.8295406801630492,-1.498684281308849,-0.8445564720077208,2.642345898665071,0.1253795857815767,0.6715175064684562,-0.6495229764902326,0.6021684923934636,0.4315948910317786,1.64455503103913,0.7152800818415068,-1.7864089595492076,-0.2528642403357533,0.26079999552332556,1.2611055003199874,1.9435093403865817,0.7946507190572785,-1.2224039984560253,2.671695086677304,2.047182517443378,0.6285439313152592,0.5995177832673528,1.2375962030078775,0.3040892456851161,-0.3277300160742118,2.2761868029106376,1.5787926775525865,-1.3338308751833976,1.4335903153329057,-1.3110159858824653,1.2939776422520413,1.6602250743734333,2.448302805863264,-1.9415671198032662,2.961689650850949,-1.0141569830901913,0.5119090389663201,South Asia,Low income,16491956.0,138
